Actuator Type,Bandwidth (Hz),Strain (%),Stress (MPa),Efficiency (%),Power Density (W/g)
DEA,6853.066666666667,200.0,7.0,85.0,1667.1608875
EAP,4.0,215.0,0.6,41.12,0.03528
EAP,10.0,63.0,0.15,41.12,0.02037
EAP,2.0,1.2,2.15,41.12,0.00051
EAP,20223.17,20.0,35.61290322580644,41.12,0.1349473333333333
EAP,100000.0,2.5,35.61290322580644,41.12,0.1349473333333333
EAP,20223.17,4.0,35.61290322580644,41.12,0.1349473333333333
EAP,20223.17,300.0,20.0,41.12,0.1349473333333333
EAP,20223.17,300.0,20.0,41.12,0.1349473333333333
EAP,20223.17,105.67285714285714,35.61290322580644,1.4,0.1349473333333333
EAP,4.5,10.0,1.5,41.12,0.1349473333333333
EAP,20223.17,105.67285714285714,35.61290322580644,30.0,0.1349473333333333
EAP,100000.0,5.0,45.0,45.0,0.1349473333333333
EAP,20223.17,2.0,34.0,41.12,0.1349473333333333
EAP,20223.17,40.0,0.3,30.0,0.005
EAP,20223.17,2.0,180.0,30.0,1.0
EAP,20223.17,5.0,0.3,5.7,0.216
EAP,20223.17,10.0,0.3,5.7,0.00575
EAP,20223.17,25.0,200.0,41.12,0.15
EAP,2000.0,117.0,3.0,80.0,0.1349473333333333
EAP,200.0,215.0,7.2,80.0,0.1349473333333333
EAP,20223.17,4.0,15.0,41.12,0.1349473333333333
EAP,20223.17,280.0,0.4,41.12,0.1349473333333333
EAP,20223.17,100.0,0.8,41.12,0.1349473333333333
EAP,20223.17,540.75,2.4,41.12,0.1349473333333333
EAP,20223.17,105.67285714285714,35.61290322580644,49.0,0.1349473333333333
EAP,20223.17,1000.0,2.0,41.12,0.1349473333333333
EAP,20223.17,10.0,1.0,41.12,0.1349473333333333
EAP,20223.17,10.0,450.0,41.12,0.1349473333333333
EAP,20223.17,30.0,2.0,41.12,0.1349473333333333
EAP,10.0,2.5,35.61290322580644,41.12,0.01
EAP,20223.17,300.0,35.61290322580644,41.12,0.1349473333333333
EAP,20223.17,25.0,1.0,75.0,0.1
EAP,20223.17,3.5,20.0,75.0,0.17
EAP,20223.17,2.0,5.0,5.0,0.1
EAP,20223.17,40.0,0.3,30.0,0.06
EAP,20223.17,0.1,4.8,75.0,0.0013
EAP,1.2,105.67285714285714,50.0,41.12,0.1349473333333333
EAP,20223.17,10.0,34.0,41.12,0.15
EAP,20223.17,4.0,0.8,41.12,0.1349473333333333
IPMC,10.0,40.0,0.3,2.45,0.02
IPMC,49.37777777777777,2.0,15.0,2.9,0.0395944032857142
IPMC,49.37777777777777,40.0,11.917692307692308,2.45,0.0395944032857142
IPMC,100.0,3.0,30.0,3.0,0.0026
IPMC,33.0,8.2,4.7,2.45,0.244
IPMC,49.37777777777777,10.0,20.0,2.45,0.0395944032857142
IPMC,49.37777777777777,0.5,3.0,1.5,0.00256
IPMC,1.0,5.0,11.917692307692308,2.45,0.0395944032857142
IPMC,0.2,0.5,11.917692307692308,2.45,0.0395944032857142
IPMC,0.2,2.1,11.917692307692308,2.45,0.0395944032857142
IPMC,49.37777777777777,0.5,3.0,2.25,0.004
IPMC,100.0,10.0,11.917692307692308,2.45,0.0395944032857142
IPMC,49.37777777777777,13.0,11.917692307692308,2.45,0.0395944032857142
IPMC,49.37777777777777,3.3,0.93,3.0,8.23e-07
IPMC,49.37777777777777,10.0,20.0,2.45,0.0395944032857142
IPMC,49.37777777777777,0.5,3.0,3.0,0.004
IPMC,49.37777777777777,10.0,20.0,2.45,0.0395944032857142
IPMC,100.0,8.745000000000001,11.917692307692308,2.45,0.0395944032857142
IPMC,49.37777777777777,3.3,15.0,1.5,0.0395944032857142
IPMC,49.37777777777777,10.0,20.0,2.45,0.0395944032857142
IPMC,100.0,8.745000000000001,11.917692307692308,2.45,0.0395944032857142
IPMC,49.37777777777777,3.0,11.917692307692308,2.45,0.0395944032857142
PZT,10000.0,0.2,110.0,90.0,0.2
PZT,100.0,1.2421034482758622,83.24615384615385,90.0,0.2307833333333333
PZT,5000.0,0.2,35.0,50.0,0.2307833333333333
PZT,5800.0,1.7,300.0,90.0,0.2307833333333333
PZT,5650.0,0.1,83.24615384615385,72.6,0.2307833333333333
PZT,5650.0,21.0,83.24615384615385,72.6,0.2307833333333333
PZT,3000.0,1.2421034482758622,83.24615384615385,72.6,0.172
PZT,5650.0,0.2,110.0,90.0,0.2307833333333333
PZT,5650.0,1.7,131.0,90.0,0.2307833333333333
PZT,5650.0,0.1,4.8,72.6,0.2307833333333333
PZT,5650.0,0.45,40.0,72.6,0.2307833333333333
PZT,5650.0,0.2,110.0,90.0,0.2307833333333333
PZT,5650.0,0.6,100.0,90.0,0.2307833333333333
PZT,5650.0,1.7,130.0,90.0,0.2307833333333333
PZT,5650.0,0.1,35.0,30.0,1.0
PZT,5650.0,0.1,3.0,1.0,0.01
PZT,5650.0,0.02,100.0,72.6,0.2307833333333333
PZT,5650.0,0.1,4.8,75.0,0.0013
PZT,5650.0,0.2,110.0,90.0,0.013
PZT,5650.0,1.7,131.0,90.0,0.13
PZT,5650.0,1.0,35.0,72.6,0.0001
PZT,5650.0,0.26,115.0,72.6,0.2307833333333333
PZT,5650.0,0.09,35.0,35.0,1.0
PZT,5650.0,0.1,3.0,1.0,0.1
PZT,5650.0,0.001,35.0,72.6,0.2307833333333333
PZT,5650.0,0.2,110.0,90.0,0.2307833333333333
PZT,5650.0,1.7,131.0,90.0,0.2307833333333333
PZT,5650.0,0.1,4.8,72.6,0.2307833333333333
PZT,5650.0,0.2,110.0,90.0,0.013
PZT,5650.0,1.7,131.0,90.0,0.13
PZT,10000.0,1.2421034482758622,83.24615384615385,72.6,0.2307833333333333
PZT,5650.0,0.3,83.24615384615385,72.6,0.2307833333333333
SCP,3.0,49.0,11.0,1.02,27.0
SCP,2.6,8.0,44.34,0.992,0.062
SCP,2.6,10.0,44.34,0.71,0.062
SCP,2.6,35.0,44.34,1.2,5.3
SCP,2.6,20.0,44.34,0.992,7.814399999999999
SCP,2.6,50.0,44.34,0.992,7.814399999999999
SCP,2.6,49.0,44.34,0.992,7.814399999999999
SCP,2.6,49.0,44.34,0.992,5.3
SCP,2.6,35.0,44.34,0.992,5.3
SCP,2.2,20.0,20.0,0.992,7.814399999999999
SCP,2.6,49.0,44.34,0.992,5.3
SCP,2.6,16.5,45.0,0.992,1.6
SCP,2.6,5.6,5.7,0.992,7.814399999999999
SCP,2.6,33.0,44.34,0.992,7.814399999999999
SCP,2.6,4.5,140.0,0.992,7.814399999999999
SCP,2.6,10.0,44.34,0.71,1.12
SCP,2.6,34.0,44.34,1.32,27.1
SCP,2.6,7.61178613,44.34,0.992,7.814399999999999
SCP,2.6,8.132312919,44.34,0.992,7.814399999999999
SCP,2.6,8.483274163,44.34,0.992,7.814399999999999
SCP,2.6,9.052874185,44.34,0.992,7.814399999999999
SCP,2.6,9.303498194,44.34,0.992,7.814399999999999
SCP,2.6,9.611082206,44.34,0.992,7.814399999999999
SCP,2.6,9.838922215,44.34,0.992,7.814399999999999
SCP,2.6,10.15960703,44.34,0.992,7.814399999999999
SCP,2.6,10.74914305,44.34,0.992,7.814399999999999
SCP,2.6,11.00453099,44.34,0.992,7.814399999999999
SCP,2.6,11.29140227,44.34,0.992,7.814399999999999
SCP,2.6,11.84619269,44.34,0.992,7.814399999999999
SCP,2.6,11.9635303,44.34,0.992,7.814399999999999
SCP,2.6,12.43060231,44.34,0.992,7.814399999999999
SCP,2.6,12.56161032,44.34,0.992,7.814399999999999
SCP,2.6,12.99450634,44.34,0.992,7.814399999999999
SCP,2.6,13.08421834,44.34,0.992,7.814399999999999
SCP,2.6,13.57891596,44.34,0.992,7.814399999999999
SCP,2.6,13.68657036,44.34,0.992,7.814399999999999
SCP,2.6,14.13370638,44.34,0.992,7.814399999999999
SCP,2.6,14.31028239,44.34,0.992,7.814399999999999
SCP,2.6,14.6577384,44.34,0.992,7.814399999999999
SCP,2.6,14.86279441,44.34,0.992,7.814399999999999
SCP,2.6,15.26876388,44.34,0.992,7.814399999999999
SCP,2.6,15.47226643,44.34,0.992,7.814399999999999
SCP,2.6,16.02477845,44.34,0.992,7.814399999999999
SCP,2.6,16.60349207,44.34,0.992,7.814399999999999
SCP,2.6,17.09562649,44.34,0.992,7.814399999999999
SCP,2.6,17.14119449,44.34,0.992,7.814399999999999
SCP,2.6,17.63674651,44.34,0.992,7.814399999999999
SCP,2.6,17.68516251,44.34,0.992,7.814399999999999
SCP,2.6,18.05255453,44.34,0.992,7.814399999999999
SCP,2.6,18.26957214,44.34,0.992,7.814399999999999
SCP,2.6,18.58228255,44.34,0.992,7.814399999999999
SCP,2.6,18.82151456,44.34,0.992,7.814399999999999
SCP,2.6,19.19745057,44.34,0.992,7.814399999999999
SCP,2.6,19.43098658,44.34,0.992,7.814399999999999
SCP,2.6,19.76135459,44.34,0.992,7.814399999999999
SCP,2.6,19.9493226,44.34,0.992,7.814399999999999
SCP,2.6,20.35286231,44.34,0.992,7.814399999999999
SCP,2.6,20.50468262,44.34,0.992,7.814399999999999
SCP,2.6,21.14548265,44.34,0.992,7.814399999999999
SCP,2.6,21.46331946,44.34,0.992,7.814399999999999
SCP,2.6,21.70369067,44.34,0.992,7.814399999999999
SCP,2.6,22.01697068,44.34,0.992,7.814399999999999
SCP,2.6,22.29379629,44.34,0.992,7.814399999999999
SCP,2.6,22.6321387,44.34,0.992,7.814399999999999
SCP,2.6,22.86282671,44.34,0.992,7.814399999999999
SCP,2.6,23.22016696,44.34,0.992,7.814399999999999
SCP,2.6,23.38571953,44.34,0.992,7.814399999999999
SCP,2.6,23.73858675,44.34,0.992,7.814399999999999
SCP,2.6,23.96500275,44.34,0.992,7.814399999999999
SCP,2.6,24.33410357,44.34,0.992,7.814399999999999
SCP,2.6,24.51181878,44.34,0.992,7.814399999999999
SCP,2.6,24.88775479,44.34,0.992,7.814399999999999
SCP,2.6,25.0723052,44.34,0.992,7.814399999999999
SCP,2.6,25.48714927,44.34,0.992,7.814399999999999
SCP,2.6,25.65671482,44.34,0.992,7.814399999999999
SCP,2.6,25.99190252,44.34,0.992,7.814399999999999
SCP,2.6,26.20922684,44.34,0.992,7.814399999999999
SCP,2.6,26.57946685,44.34,0.992,7.814399999999999
SCP,2.6,26.78452286,44.34,0.992,7.814399999999999
SCP,2.6,27.13238573,44.34,0.992,7.814399999999999
SCP,2.6,27.32279488,44.34,0.992,7.814399999999999
SCP,2.6,27.7841709,44.34,0.992,7.814399999999999
SCP,2.6,28.00916291,44.34,0.992,7.814399999999999
SCP,2.6,28.19428292,44.34,0.992,7.814399999999999
SCP,2.6,28.65199722,44.34,0.992,7.814399999999999
SCP,2.6,28.57021893,44.34,0.992,7.814399999999999
SCP,2.6,28.86356294,44.34,0.992,7.814399999999999
SCP,2.6,29.20247495,44.34,0.992,7.814399999999999
SFA,130.0,50.0,10.0,30.0,11.0
SFA,100.0,300.0,58.97222222222224,30.0,22.0
SFA,42.91666666666666,66.84210526315789,58.97222222222224,30.0,10.0
SFA,4.0,50.0,20.0,80.0,7.25625
SFA,20.0,50.0,0.7,90.0,7.25625
SFA,42.91666666666666,15.0,3.4,44.0,10.0
SFA,42.91666666666666,30.0,475.0,44.0,2.25
SFA,42.91666666666666,20.0,58.97222222222224,44.0,7.25625
SFA,42.91666666666666,37.0,58.97222222222224,44.0,7.25625
SFA,42.91666666666666,50.0,58.97222222222224,44.0,7.25625
SFA,42.91666666666666,25.0,58.97222222222224,44.0,7.25625
SFA,42.91666666666666,54.0,58.97222222222224,20.0,7.25625
SFA,42.91666666666666,30.0,58.97222222222224,40.0,7.25625
SFA,42.91666666666666,66.84210526315789,58.97222222222224,25.0,7.25625
SFA,42.91666666666666,66.84210526315789,58.97222222222224,5.0,7.25625
SFA,2.5,25.0,58.97222222222224,44.0,7.25625
SFA,42.91666666666666,50.0,20.0,44.0,0.6
SFA,42.91666666666666,50.0,0.7,90.0,0.2
SFA,42.91666666666666,20.0,0.35,44.0,7.25625
SFA,42.91666666666666,24.0,58.97222222222224,44.0,7.25625
SFA,1.0,300.0,58.97222222222224,44.0,7.25625
SFA,42.91666666666666,90.0,0.6,44.0,2.0
SMP,,0.782955266,2.942799737,,
SMP,,1.925324163,11.83240713,,
SMP,,2.1429962,13.48713321,,
SMP,,2.360598471,15.17634148,,
SMP,,2.578549574,16.69313883,,
SMP,,2.851267521,18.45120681,,
SMP,,3.179077888,20.28962856,,
SMP,,3.562294626,22.05323426,,
SMP,,4.111090947,23.9084785,,
SMP,,5.013992697,25.52972355,,
SMP,,6.181689556,26.5826627,,
SMP,,7.474924576,27.23044631,,
SMP,,8.726505568,27.6582805,,
SMP,,9.948938705,27.92722407,,
SMP,,11.03155012,28.11827314,,
SMP,,11.89330813,28.22698358,,
SMP,,14.70315114,28.3595901,,
SMP,,17.27157487,28.1708214,,
SMP,,18.56852812,28.02124164,,
SMP,,19.85061642,27.93605653,,
SMP,,21.06623103,27.93375423,,
SMP,,23.99447806,28.0661365,,
SMP,,25.74763097,8.173570416,,
SMP,,26.24162789,9.803635722,,
SMP,,26.86746988,28.19862342,,
SMP,,26.68059984,11.32001448,,
SMP,,28.10331683,18.19648867,,
SMP,,28.32098887,19.85121475,,
SMP,,28.88893614,21.3443612,,
SMP,,28.74761211,27.47093952,,
SMP,,28.75486784,23.88479271,,
TSA,5.0,50.0,80.0,76.0,0.5
TSA,3.1333333333333333,20.0,30.8,76.0,0.5
TSA,3.4,20.0,30.8,76.0,0.5
TSA,3.1333333333333333,20.0,19.0,76.0,0.5
TSA,3.1333333333333333,48.0,1.7,76.0,0.5
TSA,1.0,48.0,22.5,76.0,0.5
TSA,3.1333333333333333,72.0,30.8,76.0,0.5
TSA,3.1333333333333333,80.0,30.8,76.0,0.5
TSA,3.1333333333333333,81.0,30.8,76.0,0.5
TSA,3.1333333333333333,78.0,30.8,76.0,0.5
TSA,3.1333333333333333,11.0,30.8,76.0,0.5
